# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
こつぎ,Kotugi
こつじ,Kotuzi
こづつみ,Kozutumi
こつぼ,Kotubo
こづみ,Kozumi
こづる,Kozuru
こてがわ,Kotegawa
こてら,Kotera
こでら,Kodera
ことう,Kotô
こどう,Kodô
ごとう,Gotô
ごとうだ,Gotôda
ことぶき,Kotobuki
こない,Konai
こなか,Konaka
こながい,Konagai
こながや,Konagaya
こなかわ,Konakawa
こにし,Konisi
こぬき,Konuki
こぬま,Konuma
この,Kono
ごのい,Gonoi
このしま,Konosima
このみ,Konomi
このもと,Konomoto
こば,Koba
こはぐら,Kohagura
こはし,Kohasi
こばし,Kobasi
こばしかわ,Kobasikawa
こばしがわ,Kobasigawa
こはた,Kohata
こばた,Kobata
こばたけ,Kobatake
こはつ,Kohatu
こはま,Kohama
こはやかわ,Kohayakawa
こはやがわ,Kohayagawa
こばやかわ,Kobayakawa
こばやがわ,Kobayagawa
こはやし,Kohayasi
こばやし,Kobayasi
こはら,Kohara
こばら,Kobara
こはり,Kohari
こばり,Kobari
こばる,Kobaru
こひがし,Kohigasi
こひなた,Kohinata
こひやま,Kohiyama
こひら,Kohira
こびら,Kobira
こひるいまき,Kohiruimaki
こぶき,Kobuki
こふじ,Kohuzi
こぶち,Kobuti
こぶな,Kobuna
こぶね,Kobune
こへい,Kohei
こほり,Kohori
こぼり,Kobori
こま,Koma
こまい,Komai
こまえ,Komae
こまがた,Komagata
こまき,Komaki
こまきね,Komakine
こまさき,Komasaki
こまざき,Komazaki
こまざわ,Komazawa
こまた,Komata
こまだ,Komada
こまち,Komati
こまつ,Komatu
こまつさき,Komatusaki
こまつざき,Komatuzaki
こまつだ,Komatuda
こまつばら,Komatubara
こまの,Komano
こまば,Komaba
こまばやし,Komabayasi
こまむら,Komamura
こまや,Komaya
こまる,Komaru
こみ,Komi
ごみ,Gomi
こみぞ,Komizo
こみち,Komiti
こみなと,Kominato
こみなみ,Kominami
こみね,Komine
ごみぶち,Gomibuti
こみや,Komiya
こみやま,Komiyama
ごみょう,Gomyô
こむかい,Komukai
こむく,Komuku
こむた,Komuta
こむら,Komura
こむらさき,Komurasaki
こむろ,Komuro
こめかわ,Komekawa
こめがわ,Komegawa
こめさわ,Komesawa
こめざわ,Komezawa
こめす,Komesu
こめた,Kometa
こめだ,Komeda
こめたに,Kometani
こめだに,Komedani
こめはら,Komehara
こめむら,Komemura
こめもと,Komemoto
こめや,Komeya
こめやま,Komeyama
こもた,Komota
こもだ,Komoda
こもと,Komoto
こもり,Komori
こもりや,Komoriya
こもろ,Komoro
こや,Koya
ごや,Goya
こやぎ,Koyagi
こやしき,Koyasiki
こやす,Koyasu
こやなぎ,Koyanagi
こやの,Koyano
こやぶ,Koyabu
こやま,Koyama
こやまた,Koyamata
こやまだ,Koyamada
これえだ,Koreeda
これかわ,Korekawa
これさわ,Koresawa
これなが,Korenaga
これまつ,Korematu
ころもがわ,Koromogawa
こわき,Kowaki
こわせ,Kowase
こわた,Kowata
こわだ,Kowada
こん,Kon
こんこう,Konkô
こんごう,Kongô
こんた,Konta
こんだ,Konda
ごんた,Gonta
ごんだ,Gonda
こんたに,Kontani
こんでん,Konden
こんどう,Kondô
ごんどう,Gondô
こんない,Konnai
こんの,Konno
こんま,Konma
こんや,Kon'ya
さい,Sai
さいか,Saika
さいが,Saiga
さいかわ,Saikawa
さいがわ,Saigawa
さいき,Saiki
さいくさ,Saikusa
さいぐさ,Saigusa
さいごう,Saigô
さいしょ,Saisyo
さいしょう,Saisyô
さいじょう,Saizyô
ざいぜん,Zaizen
さいた,Saita
さいだ,Saida
さいち,Saiti
ざいつ,Zaitu
さいとう,Saitô
さいどう,Saidô
さいはら,Saihara
さいばら,Saibara
ざいま,Zaima
さいみ,Saimi
さえき,Saeki
さえくさ,Saekusa
さえぐさ,Saegusa
さおとめ,Saotome
さか,Saka
さが,Saga
さかい,Sakai
さかいだ,Sakaida
さかいの,Sakaino
さかいり,Sakairi
さかうえ,Sakaue
さかうち,Sakauti
さかえ,Sakae
さがえ,Sagae
さかえだ,Sakaeda
さかお,Sakao
さかがみ,Sakagami
さかがわ,Sakagawa
さかき,Sakaki
さかきだ,Sakakida
さかきはら,Sakakihara
さかきばら,Sakakibara
さかぐち,Sakaguti
さかくら,Sakakura
さかげん,Sakagen
さかさい,Sakasai
さかざき,Sakazaki
さかした,Sakasita
さかじょう,Sakazyô
さかじり,Sakaziri
さかせがわ,Sakasegawa
さかた,Sakata
さかだ,Sakada
さがた,Sagata
さかたに,Sakatani
さかつめ,Sakatume
さかづめ,Sakazume
さかて,Sakate
さかと,Sakato
さかとう,Sakatô
さかとく,Sakatoku
さかない,Sakanai
さかなか,Sakanaka
さかなし,Sakanasi
さかにし,Sakanisi
さかにわ,Sakaniwa
さかね,Sakane
さがね,Sagane
さかの,Sakano
さかのうえ,Sakanoue
さかば,Sakaba
さかはら,Sakahara
さかべ,Sakabe
さかま,Sakama
さかまき,Sakamaki
さかみ,Sakami
さがみ,Sagami
さかむら,Sakamura
さかもと,Sakamoto
さかや,Sakaya
さがやま,Sagayama
さかより,Sakayori
さがら,Sagara
さかり,Sakari
さかわ,Sakawa
さがわ,Sagawa
さがわえ,Sagawae
さき,Saki
さぎ,Sagi
さぎさか,Sagisaka
さきた,Sakita
さきだ,Sakida
さきの,Sakino
さきはま,Sakihama
さきはら,Sakihara
さきべ,Sakibe
さきむら,Sakimura
さきもと,Sakimoto
さぎや,Sagiya
さきやま,Sakiyama
さきょう,Sakyô
さくがわ,Sakugawa
さくた,Sakuta
さくだ,Sakuda
さぐち,Saguti
さくの,Sakuno
さくま,Sakuma
さくもと,Sakumoto
さくやま,Sakuyama
さくら,Sakura
さくらい,Sakurai
さくらおか,Sakuraoka
さくらき,Sakuraki
さくらぎ,Sakuragi
さくらざわ,Sakurazawa
さくらた,Sakurata
さくらだ,Sakurada
さくらにわ,Sakuraniwa
さくらば,Sakuraba
さくらもと,Sakuramoto
さけい,Sakei
さけみ,Sakemi
さこ,Sako
さこう,Sakô
さごう,Sagô
さこた,Sakota
さこだ,Sakoda
さこん,Sakon
ささ,Sasa
さざ,Saza
ささい,Sasai
ささお,Sasao
ささおか,Sasaoka
ささかわ,Sasakawa
ささがわ,Sasagawa
ささき,Sasaki
ささくら,Sasakura
ささげ,Sasage
ささざき,Sasazaki
ささざわ,Sasazawa
ささしま,Sasasima
ささじま,Sasazima
ささた,Sasata
ささだ,Sasada
ささたに,Sasatani
ささぬま,Sasanuma
ささの,Sasano
ささはら,Sasahara
ささぶち,Sasabuti
ささべ,Sasabe
ささむら,Sasamura
ささめ,Sasame
ささもと,Sasamoto
ささもり,Sasamori
ささや,Sasaya
ささやま,Sasayama
さざわ,Sazawa
さじ,Sazi
さしだ,Sasida
さしはら,Sasihara
さしやま,Sasiyama
さしょう,Sasyô
さすが,Sasuga
させ,Sase
さぜ,Saze
さそう,Sasô
さた,Sata
さだ,Sada
さだおか,Sadaoka
さだかた,Sadakata
さだかね,Sadakane
さたけ,Satake
さたに,Satani
さだひろ,Sadahiro
さだまつ,Sadamatu
さだもり,Sadamori
さづか,Sazuka
さつきめ,Satukime
さっさ,Sassa
さつま,Satuma
さと,Sato
さど,Sado
さとう,Satô
さとうち,Satouti
さとお,Satoo
さとぐち,Satoguti
さとだ,Satoda
さとなか,Satonaka
さどはら,Sadohara
さとみ,Satomi
さとむら,Satomura
さとよし,Satoyosi
さない,Sanai
さなだ,Sanada
さなべ,Sanabe
さぬき,Sanuki
さの,Sano
さば,Saba
さはく,Sahaku
さはし,Sahasi
さばし,Sabasi
さはら,Sahara
さふじ,Sahuzi
さぶり,Saburi
さへき,Saheki
さほ,Saho
ざま,Zama
さまた,Samata
ざまみ,Zamami
さみぞ,Samizo
さむかわ,Samukawa
さむら,Samura
さめしま,Samesima
さめじま,Samezima
さやま,Sayama
さらい,Sarai
さらいえ,Saraie
さらしな,Sarasina
さらたに,Saratani
さるた,Saruta
さるはし,Saruhasi
さるや,Saruya
さるやま,Saruyama
さるわたし,Saruwatasi
さるわたり,Saruwatari
さわ,Sawa
さわい,Sawai
さわいり,Sawairi
さわえ,Sawae
さわき,Sawaki
さわぐち,Sawaguti
さわさき,Sawasaki
さわざき,Sawazaki
さわさと,Sawasato
さわした,Sawasita
さわた,Sawata
さわだ,Sawada
さわたに,Sawatani
さわたり,Sawatari
さわで,Sawade
さわと,Sawato
さわの,Sawano
さわのぼり,Sawanobori
さわはた,Sawahata
さわふじ,Sawahuzi
さわべ,Sawabe
さわむら,Sawamura
さわめ,Sawame
さわもと,Sawamoto
さわや,Sawaya
さわやなぎ,Sawayanagi
さわやま,Sawayama
さわら,Sawara
さんかく,Sankaku
さんかわ,Sankawa
さんがわ,Sangawa
さんぐう,Sangû
さんこだ,Sankoda
さんし,Sansi
さんじ,Sanzi
さんじょう,Sanzyô
さんた,Santa
さんだ,Sanda
さんと,Santo
さんど,Sando
さんとう,Santô
さんどう,Sandô
さんない,Sannai
さんの,Sanno
さんのへ,Sannohe
さんのみや,Sannomiya
さんべ,Sanbe
さんぺ,Sanpe
さんべい,Sanbei
さんぺい,Sanpei
さんぼんぎ,Sanbongi
さんぼんまつ,Sanbonmatu
ざんま,Zanma
さんもり,Sanmori
さんや,San'ya
さんわ,Sanwa
しいき,Sîki
しいぎ,Sîgi
しいつか,Sîtuka
しいな,Sîna
しいね,Sîne
しいの,Sîno
しいのき,Sînoki
しいば,Sîba
しいばし,Sîbasi
しいはら,Sîhara
しいや,Sîya
しお,Sio
しおい,Sioi
しおいり,Sioiri
しおうら,Sioura
しおがい,Siogai
しおかわ,Siokawa
しおがわ,Siogawa
しおさき,Siosaki
しおざき,Siozaki
しおさわ,Siosawa
しおざわ,Siozawa
しおじ,Siozi
しおじま,Siozima
しおじり,Sioziri
しおせ,Siose
しおた,Siota
しおだ,Sioda
しおたに,Siotani
しおつ,Siotu
しおつか,Siotuka
しおづか,Siozuka
しおつき,Siotuki
しおで,Siode
しおの,Siono
しおのや,Sionoya
しおはた,Siohata
しおはら,Siohara
しおばら,Siobara
しおみ,Siomi
しおみつ,Siomitu
しおもと,Siomoto
しおや,Sioya
しおやま,Sioyama
しか,Sika
しが,Siga
しかうち,Sikauti
しがき,Sigaki
しかくら,Sikakura
しかざき,Sikazaki
しかじま,Sikazima
しかた,Sikata
しかだ,Sikada
しかない,Sikanai
しかの,Sikano
しかま,Sikama
しき,Siki
しぎはら,Sigihara
しぎょう,Sigyô
じくまる,Zikumaru
しけ,Sike
しげ,Sige
しげえだ,Sigeeda
しげおか,Sigeoka
しげかわ,Sigekawa
しげき,Sigeki
しげた,Sigeta
しげだ,Sigeda
しげとう,Sigetô
しげとみ,Sigetomi
しげとめ,Sigetome
しげなが,Sigenaga
しげなみ,Sigenami
しげなり,Sigenari
しげの,Sigeno
しげのぶ,Sigenobu
しげはら,Sigehara
しげひさ,Sigehisa
しげふじ,Sigehuzi
しげまさ,Sigemasa
しげまつ,Sigematu
しげみ,Sigemi
しげみつ,Sigemitu
しげむら,Sigemura
しげもと,Sigemoto
しげもり,Sigemori
しげやま,Sigeyama
しげよし,Sigeyosi
ししくら,Sisikura
ししだ,Sisida
ししと,Sisito
ししど,Sisido
しじょう,Sizyô
しずか,Sizuka
しずくいし,Sizukuisi
しずま,Sizuma
しだ,Sida
したかわ,Sitakawa
しただ,Sitada
したなか,Sitanaka
したの,Sitano
したひら,Sitahira
したみち,Sitamiti
したみや,Sitamiya
したむら,Sitamura
したもと,Sitamoto
したや,Sitaya
したやま,Sitayama
したら,Sitara
しだら,Sidara
しだらく,Sidaraku
しち,Siti
しちじょう,Sitizyô
しちた,Sitita
しちのへ,Sitinohe
しちり,Sitiri
しづ,Sizu
じつ,Zitu
じつかわ,Zitukawa
しではら,Sidehara
しとう,Sitô
しどう,Sidô
しとみ,Sitomi
しなかわ,Sinakawa
しながわ,Sinagawa
しなた,Sinata
しなだ,Sinada
しなの,Sinano
じぬし,Zinusi
しの,Sino
しのうら,Sinoura
しのき,Sinoki
しのさき,Sinosaki
しのざき,Sinozaki
しのざわ,Sinozawa
しのた,Sinota
しのだ,Sinoda
しのつか,Sinotuka
しのづか,Sinozuka
しのなが,Sinonaga
しののめ,Sinonome
しのはら,Sinohara
しのばら,Sinobara
しのぶ,Sinobu
しのへ,Sinohe
しのみや,Sinomiya
しのむら,Sinomura
しのもと,Sinomoto
しのやま,Sinoyama
しば,Siba
しばいけ,Sibaike
しばお,Sibao
しばおか,Sibaoka
しばがき,Sibagaki
しばき,Sibaki
しばさき,Sibasaki
しばざき,Sibazaki
しばた,Sibata
しばたに,Sibatani
しばぬま,Sibanuma
しばの,Sibano
しばはら,Sibahara
しばみや,Sibamiya
しばむら,Sibamura
しばもと,Sibamoto
しばや,Sibaya
しばやま,Sibayama
じびき,Zibiki
しぶい,Sibui
しぶえ,Sibue
しぶかわ,Sibukawa
しぶき,Sibuki
しぶさわ,Sibusawa
しぶた,Sibuta
しぶたに,Sibutani
しぶや,Sibuya
しほう,Sihô
しま,Sima
しまい,Simai
しまうち,Simauti
しまお,Simao
しまおか,Simaoka
しまがい,Simagai
しまがき,Simagaki
しまかげ,Simakage
しまかわ,Simakawa
しまぐち,Simaguti
しまくら,Simakura
しまさき,Simasaki
しまざき,Simazaki
しまざわ,Simazawa
しまじり,Simaziri
しまず,Simazu
しまぞえ,Simazoe
しまた,Simata
しまだ,Simada
しまたい,Simatai
しまたに,Simatani
しまつ,Simatu
しまづ,Simazu
しまなか,Simanaka
しまぬき,Simanuki
しまね,Simane
しまの,Simano
しまのうち,Simanouti
しまばやし,Simabayasi
しまはら,Simahara
しまぶく,Simabuku
しまふくろ,Simahukuro
しまぶくろ,Simabukuro
しまむら,Simamura
しまもと,Simamoto
しまや,Simaya
しまやま,Simayama
しみず,Simizu
しみづ,Simizu
しみや,Simiya
しむら,Simura
しも,Simo
しもい,Simoi
しもいけ,Simoike
しもうら,Simoura
しもえ,Simoe
しもお,Simoo
しもおか,Simooka
しもがき,Simogaki
しもがま,Simogama
しもかわ,Simokawa
しもがわ,Simogawa
しもかわら,Simokawara
しもぐち,Simoguti
しもくぼ,Simokubo
しもこうべ,Simokôbe
しもさか,Simosaka
しもざき,Simozaki
しもさこ,Simosako
しもさと,Simosato
しもざと,Simozato
しもさわ,Simosawa
しもざわ,Simozawa
しもじ,Simozi
しもじま,Simozima
しもじゅう,Simozyû
しもじょう,Simozyô
しもせ,Simose
しもその,Simosono
しもぞの,Simozono
しもた,Simota
しもだ,Simoda
しもたい,Simotai
しもたいら,Simotaira
しもだいら,Simodaira
しもだて,Simodate
しもたに,Simotani
しもち,Simoti
しもつ,Simotu
しもづ,Simozu
しもつま,Simotuma
しもつる,Simoturu
しもで,Simode
しもどうぞの,Simodôzono
しもとそ,Simotoso
しもとまい,Simotomai
しもとり,Simotori
しもどり,Simodori
しもなか,Simonaka
しもにし,Simonisi
しもの,Simono
しもはし,Simohasi
しもはた,Simohata
しもばやし,Simobayasi
しもはら,Simohara
しもひら,Simohira
しもふじ,Simohuzi
しもま,Simoma
しもまえ,Simomae
しもみや,Simomiya
しもむら,Simomura
しももと,Simomoto
しももり,Simomori
しもや,Simoya
しもやま,Simoyama
しもやまだ,Simoyamada
じゃはな,Zyahana
しゃもと,Syamoto
じゅうかわ,Zyûkawa
じゅうじょう,Zyûzyô
じゅうた,Zyûta
じゅうだ,Zyûda
しゅうとう,Syûtô
しゅうどう,Syûdô
じゅうもんじ,Zyûmonzi
しゅくや,Syukuya
しゅくり,Syukuri
しゅっとう,Syuttô
しゅとう,Syutô
しゅどう,Syudô
じゅふく,Zyuhuku
しゅむら,Syumura
しゅんどう,Syundô
しょう,Syô
じょう,Zyô
じょういち,Zyôiti
じょううち,Zyôuti
しょうが,Syôga
しょうがき,Syôgaki
じょうがさき,Zyôgasaki
じょうがわ,Zyôgawa
じょうかん,Zyôkan
しょうき,Syôki
じょうぐち,Zyôguti
じょうご,Zyôgo
じょうこう,Zyôkô
じょうさか,Zyôsaka
じょうざき,Zyôzaki
しょうじ,Syôzi
じょうじ,Zyôzi
じょうした,Zyôsita
しょうじま,Syôzima
じょうしま,Zyôsima
じょうじま,Zyôzima
じょうじょう,Zyôzyô
しょうた,Syôta
しょうだ,Syôda
じょうた,Zyôta
じょうだい,Zyôdai
じょうたき,Zyôtaki
じょうたに,Zyôtani
しょうちく,Syôtiku
じょうづか,Zyôzuka
じょうでん,Zyôden
しょうど,Syôdo
じょうと,Zyôto
じょうど,Zyôdo
しょうない,Syônai
じょうない,Zyônai
じょうにし,Zyônisi
しょうの,Syôno
じょうの,Zyôno
じょうのうち,Zyônouti
しょうばやし,Syôbayasi
じょうばやし,Zyôbayasi
じょうばら,Zyôbara
しょうぶ,Syôbu
じょうま,Zyôma
しょうむら,Syômura
じょうむら,Zyômura
じょうめん,Zyômen
じょうもと,Zyômoto
じょうや,Zyôya
しょうやま,Syôyama
じょうやま,Zyôyama
しょうりき,Syôriki
しらい,Sirai
しらいし,Siraisi
しらいわ,Siraiwa
しらうち,Sirauti
しらえ,Sirae
しらお,Sirao
しらが,Siraga
しらがき,Siragaki
しらかし,Sirakasi
しらかた,Sirakata
しらかみ,Sirakami
しらがみ,Siragami
しらかわ,Sirakawa
しらき,Siraki
しらぎ,Siragi
しらくら,Sirakura
しらこ,Sirako
しらさか,Sirasaka
しらさき,Sirasaki
しらさぎ,Sirasagi
しらざき,Sirazaki
しらさわ,Sirasawa
しらざわ,Sirazawa
しらす,Sirasu
しらすぎ,Sirasugi
しらすな,Sirasuna
しらせ,Sirase
しらた,Sirata
しらたき,Sirataki
しらたに,Siratani
しらつち,Siratuti
しらと,Sirato
しらど,Sirado
しらとり,Siratori
しらね,Sirane
しらはし,Sirahasi
しらはせ,Sirahase
しらはた,Sirahata
しらはま,Sirahama
しらひげ,Sirahige
しらふじ,Sirahuzi
しらべ,Sirabe
しらみず,Siramizu
しらやなぎ,Sirayanagi
しらやま,Sirayama
しらゆき,Sirayuki
しろ,Siro
しろい,Siroi
しろいし,Siroisi
しろいわ,Siroiwa
しろうず,Sirouzu
しろうち,Sirouti
しろがね,Sirogane
しろかみ,Sirokami
しろかわ,Sirokawa
しろき,Siroki
しろくら,Sirokura
しろさか,Sirosaka
しろさき,Sirosaki
しろざき,Sirozaki
しろさわ,Sirosawa
しろした,Sirosita
しろた,Sirota
しろたに,Sirotani
しろと,Siroto
しろとり,Sirotori
しろね,Sirone
しろの,Sirono
しろはた,Sirohata
しろはま,Sirohama
しろま,Siroma
しろみず,Siromizu
しろもと,Siromoto
しろや,Siroya
しろやま,Siroyama
しわ,Siwa
しわく,Siwaku
しん,Sin
じん,Zin
しんい,Sin'i
しんうち,Sin'uti
じんお,Zin'o
しんおか,Sin'oka
しんか,Sinka
しんかい,Sinkai
しんがい,Singai
しんかき,Sinkaki
しんがき,Singaki
しんがや,Singaya
しんかわ,Sinkawa
じんかわ,Zinkawa
しんき,Sinki
しんきょ,Sinkyo
しんぐう,Singû
じんぐう,Zingû
じんぐうじ,Zingûzi
しんくら,Sinkura
しんけ,Sinke
しんこう,Sinkô
しんごう,Singô
しんざき,Sinzaki
しんさと,Sinsato
しんざと,Sinzato
しんざん,Sinzan
しんし,Sinsi
しんじ,Sinzi
しんしま,Sinsima
しんじま,Sinzima
しんじょう,Sinzyô
しんすい,Sinsui
しんた,Sinta
じんだ,Zinda
しんたく,Sintaku
しんたに,Sintani
じんたに,Zintani
しんち,Sinti
しんで,Sinde
しんでん,Sinden
じんでん,Zinden
しんとう,Sintô
しんどう,Sindô
じんどう,Zindô
しんとめ,Sintome
しんどめ,Sindome
しんな,Sinna
じんない,Zinnai
しんの,Sinno
じんの,Zinno
しんのう,Sinnô
じんのうち,Zinnouti
しんのき,Sinnoki
しんば,Sinba
じんば,Zinba
しんばし,Sinbasi
しんばやし,Sinbayasi
じんばやし,Zinbayasi
しんはら,Sinhara
しんばら,Sinbara
しんばる,Sinbaru
しんぷく,Sinpuku
しんぼ,Sinbo
しんぽ,Sinpo
じんぼ,Zinbo
じんぽ,Zinpo
しんぼう,Sinbô
じんぼう,Zinbô
しんほり,Sinhori
しんぼり,Sinbori
しんま,Sinma
しんまち,Sinmati
しんみ,Sinmi
しんみち,Sinmiti
しんみや,Sinmiya
しんみょう,Sinmyô
しんむら,Sinmura
じんむら,Zinmura
しんめ,Sinme
しんめい,Sinmei
しんめん,Sinmen
しんもと,Sinmoto
しんもり,Sinmori
しんや,Sin'ya
じんや,Zin'ya
しんやしき,Sin'yasiki
しんやま,Sin'yama
しんり,Sinri
すいじょう,Suizyô
すいず,Suizu
すいた,Suita
すいだ,Suida
すいたに,Suitani
すいづ,Suizu
すいと,Suito
すいどう,Suidô
すいらく,Suiraku
すえ,Sue
すえいし,Sueisi
すえおか,Sueoka
すえき,Sueki
すえきち,Suekiti
すえざき,Suezaki
すえざわ,Suezawa
すえた,Sueta
すえだ,Sueda
すえたけ,Suetake
すえつぎ,Suetugi
すえつぐ,Suetugu
すえと,Sueto
すえとう,Suetô
すえとみ,Suetomi
すえなが,Suenaga
すえなみ,Suenami
すえの,Sueno
すえはら,Suehara
すえひろ,Suehiro
すえふじ,Suehuzi
すえまさ,Suemasa
すえます,Suemasu
すえまつ,Suematu
すえみつ,Suemitu
すえむね,Suemune
すえむら,Suemura
すえもと,Suemoto
すえもり,Suemori
すえやす,Sueyasu
すえやま,Sueyama
すえよし,Sueyosi
すおう,Suô
すか,Suka
すが,Suga
すかい,Sukai
すがい,Sugai
すがえ,Sugae
すがお,Sugao
すがさわ,Sugasawa
すがざわ,Sugazawa
すがた,Sugata
すがたに,Sugatani
すがなみ,Suganami
すがぬま,Suganuma
すがの,Sugano
すがのや,Suganoya
すがはら,Sugahara
すがま,Sugama
すがまた,Sugamata
すがむら,Sugamura
すがもと,Sugamoto
すがや,Sugaya
すかわ,Sukawa
すがわ,Sugawa
すがわら,Sugawara
すぎ,Sugi
すぎい,Sugii
すぎうち,Sugiuti
すぎうら,Sugiura
すぎえ,Sugie
すぎお,Sugio
すぎおか,Sugioka
すぎがみ,Sugigami
すきがら,Sukigara
すぎき,Sugiki
すぎさか,Sugisaka
すぎさき,Sugisaki
すぎざき,Sugizaki
すぎさわ,Sugisawa
すぎざわ,Sugizawa
すぎした,Sugisita
すぎしま,Sugisima
すぎた,Sugita
すぎだ,Sugida
すぎたに,Sugitani
すぎと,Sugito
すぎなか,Suginaka
すぎぬま,Suginuma
すぎの,Sugino
すぎばやし,Sugibayasi
すぎはら,Sugihara
すぎぶち,Sugibuti
すぎまち,Sugimati
すぎむら,Sugimura
すぎもと,Sugimoto
すぎもり,Sugimori
すぎや,Sugiya
すぎやま,Sugiyama
すぎわら,Sugiwara
すぐり,Suguri
すぐるだ,Suguruda
すぐろ,Suguro
すげ,Suge
すけかわ,Sukekawa
すけがわ,Sukegawa
すげさわ,Sugesawa
すげざわ,Sugezawa
すけだ,Sukeda
すげた,Sugeta
すげだ,Sugeda
すげの,Sugeno
すげのや,Sugenoya
ずけやま,Zukeyama
ずけらん,Zukeran
すごう,Sugô
すさ,Susa
すさき,Susaki
すざき,Suzaki
すざわ,Suzawa
ずし,Zusi
すじはら,Suzihara
すずい,Suzui
すずえ,Suzue
すずおき,Suzuoki
すずか,Suzuka
すずかわ,Suzukawa
すすき,Susuki
すずき,Suzuki
すすきだ,Susukida
すずた,Suzuta
すずの,Suzuno
すずまる,Suzumaru
すずむら,Suzumura
すすめ,Susume
すずもと,Suzumoto
すずやま,Suzuyama
すた,Suta
すだ,Suda
すとう,Sutô
すどう,Sudô
すなおし,Sunaosi
すなが,Sunaga
すなかわ,Sunakawa
すながわ,Sunagawa
すなこ,Sunako
すなた,Sunata
すなだ,Sunada
すなはら,Sunahara
すなみ,Sunami
すなやま,Sunayama
すのうち,Sunouti
すのはら,Sunohara
すはら,Suhara
すま,Suma
すまだ,Sumada
すまの,Sumano
すみ,Sumi
すみい,Sumii
すみおか,Sumioka
すみかわ,Sumikawa
すみがわ,Sumigawa
すみた,Sumita
すみだ,Sumida
すみたに,Sumitani
すみだに,Sumidani
すみとも,Sumitomo
すみの,Sumino
すみもと,Sumimoto
すみや,Sumiya
すみやま,Sumiyama
すみよし,Sumiyosi
すもと,Sumoto
すやま,Suyama
するが,Suruga
すわ,Suwa
すわべ,Suwabe
せい,Sei
せいか,Seika
せいかい,Seikai
せいき,Seiki
せいけ,Seike
せいた,Seita
せいだ,Seida
せいとう,Seitô
せいどう,Seidô
せいの,Seino
せいみや,Seimiya
せいやま,Seiyama
せお,Seo
せが,Sega
せがみ,Segami
せかわ,Sekawa
せがわ,Segawa
せき,Seki
せぎ,Segi
せきい,Sekii
せきうち,Sekiuti
せきおか,Sekioka
せきがみ,Sekigami
せきかわ,Sekikawa
せきがわ,Sekigawa
せきぐち,Sekiguti
せきざき,Sekizaki
せきさわ,Sekisawa
せきざわ,Sekizawa
せきした,Sekisita
せきじま,Sekizima
せきた,Sekita
せきだ,Sekida
せきたに,Sekitani
せきづか,Sekizuka
せきと,Sekito
せきど,Sekido
せきどう,Sekidô
せきね,Sekine
せきの,Sekino
せきはら,Sekihara
せきむら,Sekimura
せきもと,Sekimoto
せきもり,Sekimori
せきや,Sekiya
せきやま,Sekiyama
せぐち,Seguti
せこ,Seko
せこぐち,Sekoguti
せざき,Sezaki
せした,Sesita
せじま,Sezima
せしも,Sesimo
せた,Seta
せだ,Seda
せたに,Setani
せだに,Sedani
せつらく,Seturaku
せと,Seto
せど,Sedo
せとう,Setô
せとがわ,Setogawa
せとくち,Setokuti
せとぐち,Setoguti
せどぐち,Sedoguti
せとやま,Setoyama
ぜにや,Zeniya
せぬま,Senuma
せの,Seno
せのう,Senô
せのお,Senoo
せのくち,Senokuti
せのした,Senosita
せま,Sema
せや,Seya
せやま,Seyama
せら,Sera
せりかわ,Serikawa
せりさわ,Serisawa
せりざわ,Serizawa
せりた,Serita
せんが,Senga
ぜんけ,Zenke
せんごく,Sengoku
せんざき,Senzaki
せんじゅ,Senzyu
せんしゅう,Sensyû
せんすい,Sensui
せんた,Senta
せんだ,Senda
せんたに,Sentani
せんとう,Sentô
せんどう,Sendô
せんどうだ,Sendôda
せんの,Senno
せんば,Senba
ぜんば,Zenba
ぜんばやし,Zenbayasi
せんばら,Senbara
せんぼん,Senbon
せんぼんぎ,Senbongi
せんぼんまつ,Senbonmatu
せんや,Sen'ya
そいた,Soita
そう,Sô
そうか,Sôka
そうかわ,Sôkawa
そうがわ,Sôgawa
そうぎ,Sôgi
そうざわ,Sôzawa
そうじ,Sôzi
ぞうしき,Zôsiki
そうた,Sôta
そうだ,Sôda
ぞうだ,Zôda
そうとめ,Sôtome
そうの,Sôno
そうま,Sôma
そうみや,Sômiya
そうや,Sôya
そうわ,Sôwa
そえしま,Soesima
そえじま,Soezima
そえた,Soeta
そえだ,Soeda
そえの,Soeno
そおとめ,Sootome
そが,Soga
そかべ,Sokabe
そがべ,Sogabe
そがめ,Sogame
そがわ,Sogawa
そごう,Sogô
そた,Sota
そだ,Soda
そたに,Sotani
そでおか,Sodeoka
そでやま,Sodeyama
そとう,Sotô
そとかわ,Sotokawa
そとがわ,Sotogawa
そとさき,Sotosaki
そとざき,Sotozaki
そとざわ,Sotozawa
そとしろ,Sotosiro
そとぞの,Sotozono
そとま,Sotoma
そとむら,Sotomura
そとやま,Sotoyama
そね,Sone
そねだ,Soneda
そねはら,Sonehara
その,Sono
そのお,Sonoo
そのき,Sonoki
そのた,Sonota
そのだ,Sonoda
そのはら,Sonohara
そのべ,Sonobe
そのやま,Sonoyama
そばじま,Sobazima
そぶ,Sobu
そふえ,Sohue
そぶえ,Sobue
そめい,Somei
