# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
あめのみや,Amenomiya
あめみや,Amemiya
あめもり,Amemori
あもう,Amô
あや,Aya
あやの,Ayano
あやべ,Ayabe
あやめ,Ayame
あゆかわ,Ayukawa
あゆざわ,Ayuzawa
あら,Ara
あらい,Arai
あらいえ,Araie
あらいた,Araita
あらいだ,Araida
あらお,Arao
あらおか,Araoka
あらかき,Arakaki
あらがき,Aragaki
あらかね,Arakane
あらがね,Aragane
あらかわ,Arakawa
あらき,Araki
あらきだ,Arakida
あらぐすく,Aragusuku
あらくら,Arakura
あらけ,Arake
あらさき,Arasaki
あらさわ,Arasawa
あらし,Arasi
あらしだ,Arasida
あらしま,Arasima
あらしろ,Arasiro
あらせ,Arase
あらせき,Araseki
あらた,Arata
あらたけ,Aratake
あらたに,Aratani
あらつ,Aratu
あらの,Arano
あらはた,Arahata
あらふね,Arahune
あらま,Arama
あらまき,Aramaki
あらみ,Arami
あらみや,Aramiya
あらもと,Aramoto
あらや,Araya
あらやま,Arayama
あららぎ,Araragi
あり,Ari
ありい,Arii
ありいずみ,Ariizumi
ありえ,Arie
ありおか,Arioka
ありが,Ariga
ありかわ,Arikawa
ありき,Ariki
ありごう,Arigô
ありさか,Arisaka
ありさわ,Arisawa
ありざわ,Arizawa
ありじ,Arizi
ありしま,Arisima
ありずみ,Arizumi
ありぞの,Arizono
ありた,Arita
ありだ,Arida
ありたけ,Aritake
ありとみ,Aritomi
ありどめ,Aridome
ありとも,Aritomo
ありなが,Arinaga
ありの,Arino
ありはら,Arihara
ありふく,Arihuku
ありま,Arima
ありまつ,Arimatu
ありみず,Arimizu
ありみつ,Arimitu
ありむら,Arimura
ありもと,Arimoto
ありもり,Arimori
ありや,Ariya
ありやす,Ariyasu
ありやま,Ariyama
ありよし,Ariyosi
あるが,Aruga
あれ,Are
あわ,Awa
あわい,Awai
あわいはら,Awaihara
あわじ,Awazi
あわた,Awata
あわだ,Awada
あわたに,Awatani
あわつ,Awatu
あわづ,Awazu
あわの,Awano
あわむら,Awamura
あわや,Awaya
あんさい,Ansai
あんざい,Anzai
あんざわ,Anzawa
あんじき,Anziki
あんじゅう,Anzyû
あんじょう,Anzyô
あんぞう,Anzô
あんだ,Anda
あんだち,Andati
あんたつ,Antatu
あんだつ,Andatu
あんど,Ando
あんとう,Antô
あんどう,Andô
あんとく,Antoku
あんなか,Annaka
あんねん,Annen
あんの,Anno
あんのう,Annô
あんばい,Anbai
あんびる,Anbiru
あんべ,Anbe
あんぼ,Anbo
あんぽ,Anpo
あんま,Anma
あんらく,Anraku
あんり,Anri
あんりゅう,Anryû
い,I
いい,Ii
いいいずみ,Îizumi
いいお,Îo
いいおか,Îoka
いいかわ,Îkawa
いいくら,Îkura
いいさか,Îsaka
いいざか,Îzaka
いいざわ,Îzawa
いいしま,Îsima
いいじま,Îzima
いいずか,Îzuka
いいずみ,Îzumi
いいた,Îta
いいだ,Îda
いいたか,Îtaka
いいだか,Îdaka
いいつか,Îtuka
いいづか,Îzuka
いいぬま,Înuma
いいの,Îno
いいはま,Îhama
いいぶち,Îbuti
いいほし,Îhosi
いいぼし,Îbosi
いいま,Îma
いいむら,Îmura
いいむろ,Îmuro
いいもり,Îmori
いいやま,Îyama
いいよし,Îyosi
いうえ,Iue
いうち,Iuti
いうら,Iura
いえ,Ie
いえいり,Ieiri
いえき,Ieki
いえさき,Iesaki
いえずみ,Iezumi
いえた,Ieta
いえだ,Ieda
いえなが,Ienaga
いえむら,Iemura
いえもと,Iemoto
いお,Io
いおか,Ioka
いおろい,Ioroi
いが,Iga
いがあらし,Igaarasi
いかい,Ikai
いがい,Igai
いがうえ,Igaue
いがき,Igaki
いがた,Igata
いがたに,Igatani
いがみ,Igami
いからし,Ikarasi
いがらし,Igarasi
いかり,Ikari
いがり,Igari
いかわ,Ikawa
いがわ,Igawa
いき,Iki
いきざわ,Ikizawa
いきしま,Ikisima
いきた,Ikita
いきの,Ikino
いくい,Ikui
いくかた,Ikukata
いぐさ,Igusa
いくしま,Ikusima
いくた,Ikuta
いくだ,Ikuda
いぐち,Iguti
いくの,Ikuno
いくま,Ikuma
いぐま,Iguma
